idx,group,target_model,programmed,attack_mode,defense,input_profile,attack_profile,safe_mode,trigger,remap,bitflip,pred,trusted,final,checksum,recompute,behavior,defense_alert,loc_valid,loc_reason,loc_layer,loc_tile,loc_bank,loc_addr,cycles
0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,27
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
3,0,1,1,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,27
4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
5,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,27
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
8,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,27
9,0,0,1,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,27
10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
11,0,0,1,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,27
12,1,1,1,1,0,2,0,0,1,1,0,2,0,2,1,0,1,0,1,1,1,2,1,6,27
13,1,1,1,1,0,3,0,0,1,1,0,2,0,2,1,0,1,0,1,1,1,2,1,6,27
14,1,1,1,1,0,2,1,0,1,1,0,2,0,2,1,0,1,0,1,1,1,2,1,6,27
15,1,1,1,1,0,3,1,0,1,1,0,2,0,2,1,0,1,0,1,1,1,2,1,6,27
16,1,1,1,1,0,2,2,0,1,1,0,2,0,2,1,0,1,0,1,1,1,2,1,6,27
17,1,1,1,1,0,3,2,0,1,1,0,2,0,2,1,0,1,0,1,1,1,2,1,6,27
18,1,1,1,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,2,0,2,27
19,1,1,1,2,0,3,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,2,0,2,27
20,1,1,1,2,0,2,1,0,1,0,1,2,0,2,1,0,0,0,1,1,1,2,0,2,27
21,1,1,1,2,0,3,1,0,1,0,1,2,0,2,1,0,0,0,1,1,1,2,0,2,27
22,1,1,1,2,0,2,2,0,1,0,1,2,0,2,1,0,0,0,1,1,1,2,0,2,27
23,1,1,1,2,0,3,2,0,1,0,1,2,0,2,1,0,0,0,1,1,1,2,0,2,27
24,1,1,1,3,0,2,0,0,1,1,1,2,0,2,1,0,1,0,1,1,1,2,1,6,27
